Unnamed: 0,French,English
0,partie,part
1,seulement,only
2,police,police
4,mettre,to put
5,laisse,leash
6,eux,them
7,chaque,each
8,arrivé,come
10,bébé,baby
11,longtemps,long time
12,vont,will
13,pendant,while
14,revoir,meet again
15,aucune,any
16,place,square
17,compris,understood
18,savais,knew
19,voici,here is
20,donner,give
21,leurs,their
22,corps,body
23,écoute,listen
24,dont,whose
25,trouve,find
26,perdu,lost
27,main,hand
28,première,first
29,côté,side
30,pouvoir,power
31,vieux,old
32,tiens,here
33,matin,morning
34,pardon,sorry
35,venez,come
36,devant,in front of
37,minutes,minutes
38,demandé,request
39,mis,placed
41,eau,water
42,parti,left
43,nouvelle,new
44,boulot,job
46,dirait,would say
47,terre,Earth
48,donne,given
49,croire,believe
50,gros,large
51,plutôt,rather
52,aura,will have
53,jouer,to play
